id,goals,totalShots,onTargetScoringAttempt,shotOffTarget,totalContest,wonContest,wasFouled,fouls,keyPass,goalAssist,bigChanceCreated,bigChanceMissed,totalCross,accurateCross,totalPass,accuratePass,touches,duelWon,duelLost,hitWoodwork,minutesPlayed,name,world_cups_played,first_world_cup,last_world_cup,matches_played
1422127,1.0,4,1.0,3.0,0.0,0.0,2.0,8.0,7.0,1.0,1.0,0.0,1.0,0.0,193.0,170.0,238.0,14.0,23.0,0.0,390.0,Matt Holland,1,2002,2002,4
1422128,0.0,4,0.0,1.0,4.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,248.0,218.0,287.0,10.0,19.0,0.0,389.0,Mark Kinsella,1,2002,2002,4
1422129,1.0,6,2.0,2.0,28.0,14.0,20.0,11.0,3.0,0.0,0.0,1.0,22.0,0.0,82.0,68.0,202.0,37.0,46.0,0.0,390.0,Damien Duff,1,2002,2002,4
1422130,0.0,2,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,9.0,21.0,3.0,2.0,0.0,38.0,David Connolly,1,2002,2002,1
1422132,0.0,0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,47.0,44.0,64.0,5.0,2.0,0.0,72.0,Kenny Cunningham,1,2002,2002,2
1422134,0.0,0,0.0,0.0,2.0,2.0,6.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,97.0,81.0,138.0,20.0,6.0,0.0,233.0,Bill Tchato,1,2002,2002,3
1422139,0.0,1,0.0,0.0,5.0,4.0,3.0,5.0,1.0,0.0,0.0,0.0,5.0,1.0,33.0,25.0,57.0,10.0,10.0,0.0,71.0,Daniel Kome,1,2002,2002,2
1422140,0.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,7.0,14.0,0.0,1.0,0.0,16.0,Pius N'Diefi,1,2002,2002,1
1422141,0.0,1,0.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,12.0,28.0,4.0,6.0,0.0,45.0,Patrick Suffo,1,2002,2002,2
1422143,0.0,0,0.0,0.0,1.0,0.0,2.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,83.0,71.0,103.0,8.0,15.0,0.0,187.0,Estanislao Struway,1,2002,2002,3
1422144,0.0,1,1.0,0.0,1.0,0.0,12.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,52.0,36.0,82.0,16.0,11.0,0.0,120.0,Guido Alvarenga,1,2002,2002,2
1422145,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,5.0,Juan Carlos Franco,1,2002,2002,2
1422149,0.0,1,0.0,1.0,5.0,3.0,3.0,5.0,1.0,0.0,0.0,0.0,5.0,1.0,125.0,87.0,213.0,27.0,14.0,0.0,270.0,Cyril Nzama,1,2002,2002,3
1422150,0.0,10,1.0,5.0,9.0,6.0,3.0,11.0,3.0,0.0,0.0,0.0,1.0,0.0,159.0,132.0,240.0,24.0,29.0,0.0,360.0,MacBeth Sibaya,2,2002,2010,4
1422153,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,8.0,1.0,1.0,0.0,10.0,Thabang Molefe,1,2002,2002,1
1422154,0.0,0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,6.0,1.0,15.0,10.0,31.0,3.0,3.0,0.0,63.0,McDonald Mukansi,1,2002,2002,1
1422155,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,11.0,2.0,1.0,0.0,7.0,Jacob Lekgetho,1,2002,2002,1
1422157,0.0,1,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0,15.0,32.0,7.0,7.0,0.0,38.0,George Koumantarakis,1,2002,2002,3
1422159,0.0,0,0.0,0.0,4.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,4.0,4.0,11.0,2.0,2.0,0.0,6.0,Jabu Pule,1,2002,2002,1
1422161,0.0,8,2.0,5.0,12.0,6.0,2.0,2.0,11.0,3.0,4.0,0.0,42.0,10.0,137.0,98.0,260.0,16.0,26.0,0.0,316.0,Javier De Pedro,1,2002,2002,4
1422163,0.0,2,1.0,0.0,2.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,13.0,47.0,7.0,14.0,0.0,112.0,Diego Tristán,1,2002,2002,2
1422164,0.0,0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,26.0,40.0,2.0,4.0,0.0,37.0,Sergio,1,2002,2002,1
1422165,0.0,2,2.0,0.0,0.0,0.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,178.0,160.0,211.0,13.0,13.0,0.0,226.0,David Albelda,2,2002,2006,4
1422166,0.0,5,1.0,3.0,2.0,1.0,4.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,18.0,11.0,44.0,8.0,7.0,0.0,53.0,Albert Luque,1,2002,2002,2
1422167,0.0,1,0.0,1.0,4.0,0.0,3.0,4.0,1.0,0.0,0.0,0.0,3.0,2.0,108.0,94.0,165.0,10.0,11.0,0.0,218.0,Romero,1,2002,2002,3
1422168,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,57.0,50.0,76.0,1.0,3.0,0.0,90.0,Curro Torres,1,2002,2002,1
1422172,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,24.0,52.0,3.0,3.0,0.0,90.0,Marinko Galic,1,2002,2002,1
1422173,0.0,3,0.0,3.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,96.0,64.0,163.0,20.0,19.0,0.0,270.0,Zeljko Milinovic,1,2002,2002,3
1422174,0.0,1,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,51.0,106.0,12.0,3.0,0.0,150.0,Aleksander Knavs,1,2002,2002,2
1422175,0.0,3,2.0,1.0,2.0,0.0,10.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,135.0,90.0,175.0,24.0,24.0,0.0,220.0,Miran Pavlin,1,2002,2002,3
